Topic,ID,Segment,IdeaUnit,label,NoteText
ComputerScience,6260226,1,Early computers operated by executing a set of algorithms while separately receiving operator input.,0,"BASICS OF COMPUTER SCIENCE Declarative Knowledge: Factual statements Imparative Knowledge: how-to statements, expressed in algorithms - steps in an exact order, such as how to perform a computation. Algorithm contains loops, telling the program to start over and repeat a process, termination code must be includedInfinite loop: missing termination code, program runs forever why are we talking about the germans i dont know what this has to do with anything Fixed Program: machine executes algorithms. Stored program computer. Operator prov"
ComputerScience,6260226,1,"Fixed program computers were limited in functionality, only capable of performing predefined tasks.",0,"BASICS OF COMPUTER SCIENCE Declarative Knowledge: Factual statements Imparative Knowledge: how-to statements, expressed in algorithms - steps in an exact order, such as how to perform a computation. Algorithm contains loops, telling the program to start over and repeat a process, termination code must be includedInfinite loop: missing termination code, program runs forever why are we talking about the germans i dont know what this has to do with anything Fixed Program: machine executes algorithms. Stored program computer. Operator prov"
ComputerScience,6260226,1,The invention of stored program computers marked a significant technological breakthrough.,0,"BASICS OF COMPUTER SCIENCE Declarative Knowledge: Factual statements Imparative Knowledge: how-to statements, expressed in algorithms - steps in an exact order, such as how to perform a computation. Algorithm contains loops, telling the program to start over and repeat a process, termination code must be includedInfinite loop: missing termination code, program runs forever why are we talking about the germans i dont know what this has to do with anything Fixed Program: machine executes algorithms. Stored program computer. Operator prov"
ComputerScience,6260226,2,"In stored program computers, algorithm and data applications are the same program.",1,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,Programs can produce other programs.,1,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,"Stored program computers consist of three main parts: the control unit, memory, and the arithmetic logic unit (ALU).",1,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,"Stored program computers also have input and output devices, parts we regularly interact with.",1,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,"Keyboards, mice, and screens are all examples of input and output devices.",1,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,A computer?s memory stores all the information it receives.,1,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,"Computers have one kind of memory, not separate systems.",1,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,The control unit tells the computer what to do.,1,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,The arithmetic logic unit (ALU is a fundamental part of modern computers and acts as the computer?s brain.,1,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,Modern ALUs have billions of transistors.,0,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,Transistors in the ALU can be seen as equivalent to light bulbs.,1,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,Computers using the binary system interpret 0 as off and 1 as on.,1,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,Modern computers can turn these ?lightbulbs? on and off billions of times every second.,0,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,Complex operations are possible due to the large number of quick switches transistors can make.,0,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,2,The binary system allows computers to process large amounts of data and execute algorithms efficiently.,0,"stored program: instructions are treated just like the data - can change program at any time, program can produce data, program can produce program - computer is a program now Memory (stores information, one kind of memory), CU ( control unit, tells , ALU, input and outputCU tells cCU tells computer what to do ALU: computations, logical operations. Brain of the computer input and output devices: keyboard, mouse, screen transistors: inside the ALU, can complete many operations Transitors and Binary System - 0 and 1, 0 off 1 on - get rid of anything without 0 and 1 - 00 0 01 1 10 2 11 3 100 4 101 5 110 6 - each number is a lightbulb on 1 off 0 -"
ComputerScience,6260226,3,Commands are built-in instructions for computer programs.,0,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,Built-in instructions for the same type of data differ among programming languages.,1,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,"In Python, the command ?S-T-R? means ?string,? representing characters and letters.",1,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,"Syntax, static semantics, and semantics define a programming language.",1,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,Syntax tells us the sequence of characters and symbols allowed in the programming language?s rules.,1,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,Syntax in computer programming is like syntax in human languages.,0,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,"Syntax does not care if something has meaning, only that it fits the programming language?s rules.",0,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,Static semantics refer to how meaningful and well-formed a code is.,1,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,"Programming languages, unlike human languages, have only one meaning.",0,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,A bug is an error in the code that goes against the intention of the coder.,0,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,"Errors can cause the program to quit, resulting in a crash.",0,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,"Errors can also cause the program to become unresponsive, resulting in a freeze.",0,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,Crashing and freezing have different underlying causes.,0,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,"Incompatibility, when a program expects one input but gets another, can cause a crash.",1,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,3,"When a program gets stuck in an infinite loop and cannot complete a job, it can cause a freeze.",1,"Programming: syntax and semantics, commands Programming languages: provide primitive commands, what commands are legal, how to combine commands Java: char = characters or letters Python: str = characters or letters Syntax, static semantics, semantics Syntax: what sequence of characters is legal Static semantics: Semantics:Static semantics: operates on meaning Semantics: A crash: caused by incompatibility- expects one output and gets something different A freeze: infinite loop, computer doesn't know when to stop"
ComputerScience,6260226,4,"If a program crashes or freezes, you know that something went wrong immediately.",0,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,The most challenging type of error is when a program runs to completion but produces the wrong output.,1,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,"Python is an interpreted language, making debugging easy.",1,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,Interpreted languages can describe what went wrong using the language of the source code.,1,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,Compiled language programs will give you an unintelligible error message in the machine code,0,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,"In almost all programming languages, you will first see the integrated development environment (IDE) which Python calls the IDLE.",1,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,"IDLE is named after Eric Idle from Monty Python, who also who inspired the name Python.",0,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,"The IDLE has highlighting, auto-completion, and smart indenting to help see and write your code.",0,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,The shell in the IDLE is where Python runs the code.,0,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,You can write and run code in the text editor to have many lines of code executed together.,0,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,Everything is an object in Python with many categories that tell you what kind of object it is and what it can do.,0,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,There are two types of numbers in programming: integers and floating point.,0,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,Integers deal with whole numbers and are notated ?I-N-T? in Python.,1,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
ComputerScience,6260226,4,Floating point deals with decimals and is notated ?F-L-O-A-T? in Python.,0,"Worst type of error: program runs to completion, produces the wrong output Programming: python is an interpreted language - if something goes wrong, the interpreter can use the language of the source code - compiled language: error message in another language IDE: Integrated development environment integers: int 24string str use quotation marks simple program: print"
Ecology,6260215,1,The word ?toucan? comes from the Tupi Natives from Brazil,0,"tucano (south america) 40 species toco toucan(largest 25'') aracar toucanet(smallest 12' 4.5oz) short body rounded tail lifespan (18 years in capticity) dont migrate (dont fly well, hop between tree branches) biiger toucans have bigger bills 4 toes first and fourth turn backwards (helps grab branches to stand) raising children (tree holes) natural tree holes by woodpeckers why live so small hole? sleep with their head turn backwards and pull their tail upwards 5-6 can fit in the ho;e mom and dad take turns to sit on eggs but impatient (leave their eggs uncovered) eggs hatched 2 weeks and naked feathers fill in 4 weeks old 7 weeks flymother leave once kid can survive fly together family stick together playful birds,"
Ecology,6260215,1,The toucan is a member of the Ramphastidae bird family,0,"tucano (south america) 40 species toco toucan(largest 25'') aracar toucanet(smallest 12' 4.5oz) short body rounded tail lifespan (18 years in capticity) dont migrate (dont fly well, hop between tree branches) biiger toucans have bigger bills 4 toes first and fourth turn backwards (helps grab branches to stand) raising children (tree holes) natural tree holes by woodpeckers why live so small hole? sleep with their head turn backwards and pull their tail upwards 5-6 can fit in the ho;e mom and dad take turns to sit on eggs but impatient (leave their eggs uncovered) eggs hatched 2 weeks and naked feathers fill in 4 weeks old 7 weeks flymother leave once kid can survive fly together family stick together playful birds,"
Ecology,6260215,1,Toucans are mostly found in South America,1,"tucano (south america) 40 species toco toucan(largest 25'') aracar toucanet(smallest 12' 4.5oz) short body rounded tail lifespan (18 years in capticity) dont migrate (dont fly well, hop between tree branches) biiger toucans have bigger bills 4 toes first and fourth turn backwards (helps grab branches to stand) raising children (tree holes) natural tree holes by woodpeckers why live so small hole? sleep with their head turn backwards and pull their tail upwards 5-6 can fit in the ho;e mom and dad take turns to sit on eggs but impatient (leave their eggs uncovered) eggs hatched 2 weeks and naked feathers fill in 4 weeks old 7 weeks flymother leave once kid can survive fly together family stick together playful birds,"
Ecology,6260215,1,The largest toucan species is the toco toucan,1,"tucano (south america) 40 species toco toucan(largest 25'') aracar toucanet(smallest 12' 4.5oz) short body rounded tail lifespan (18 years in capticity) dont migrate (dont fly well, hop between tree branches) biiger toucans have bigger bills 4 toes first and fourth turn backwards (helps grab branches to stand) raising children (tree holes) natural tree holes by woodpeckers why live so small hole? sleep with their head turn backwards and pull their tail upwards 5-6 can fit in the ho;e mom and dad take turns to sit on eggs but impatient (leave their eggs uncovered) eggs hatched 2 weeks and naked feathers fill in 4 weeks old 7 weeks flymother leave once kid can survive fly together family stick together playful birds,"
Ecology,6260215,1,The average lifespan of a toucan in captivity is 18 years,1,"tucano (south america) 40 species toco toucan(largest 25'') aracar toucanet(smallest 12' 4.5oz) short body rounded tail lifespan (18 years in capticity) dont migrate (dont fly well, hop between tree branches) biiger toucans have bigger bills 4 toes first and fourth turn backwards (helps grab branches to stand) raising children (tree holes) natural tree holes by woodpeckers why live so small hole? sleep with their head turn backwards and pull their tail upwards 5-6 can fit in the ho;e mom and dad take turns to sit on eggs but impatient (leave their eggs uncovered) eggs hatched 2 weeks and naked feathers fill in 4 weeks old 7 weeks flymother leave once kid can survive fly together family stick together playful birds,"
Ecology,6260215,1,Toucans do not migrate because of their beak size,1,"tucano (south america) 40 species toco toucan(largest 25'') aracar toucanet(smallest 12' 4.5oz) short body rounded tail lifespan (18 years in capticity) dont migrate (dont fly well, hop between tree branches) biiger toucans have bigger bills 4 toes first and fourth turn backwards (helps grab branches to stand) raising children (tree holes) natural tree holes by woodpeckers why live so small hole? sleep with their head turn backwards and pull their tail upwards 5-6 can fit in the ho;e mom and dad take turns to sit on eggs but impatient (leave their eggs uncovered) eggs hatched 2 weeks and naked feathers fill in 4 weeks old 7 weeks flymother leave once kid can survive fly together family stick together playful birds,"
